-695	-1175	-63	
-735	-1159	-55	
-719	-1175	-39	
-711	-1151	-37	
-703	-1159	-1	
-711	-1167	13	
-743	-1103	23	
-767	-1095	21	
-863	-1023	-17	
-951	-871	-83	
-991	-607	-141	
-919	-415	-173	
-903	-263	-169	
-903	-127	-155	
-831	-47	-173	
-815	-119	-197	
-799	-351	-221	
-727	-943	-169	
-623	-1215	-49	
-575	-1135	97	
-551	-999	153	
-511	-943	177	
-543	-855	183	
-511	-871	195	
-527	-815	201	
-503	-727	205	
-535	-663	213	
-471	-679	219	
-455	-719	209	
-623	-767	171	
-575	-783	181	
-599	-695	177	
-719	-567	165	
-863	-359	113	
-943	-159	67	
-975	-15	33	
-935	113	-11	
-919	185	-21	
-879	217	15	
-711	321	35	
-663	305	79	
-511	393	89	
-423	329	115	
-511	121	161	
-511	73	155	
-663	17	139	
-735	17	131	
-823	-47	117	
-911	-71	89	
-943	-23	67	
-959	1	43	
-999	9	17	
-927	105	-5	
-943	145	-9	
-935	145	-5	
-919	161	25	
-951	25	35	
-967	-15	33	
-999	-87	27	
-1007	-71	19	
-999	-7	17	
-983	-63	51	
-935	-127	91	
-879	-143	125	
-743	-95	147	
-687	-47	157	
-623	105	139	
-583	161	125	
-527	265	115	
-431	345	103	
-367	361	107	
-423	257	151	
-487	201	153	
-495	257	147	
-543	193	153	
-535	241	159	
-519	249	157	
-543	185	173	
-615	57	187	
-695	-103	183	
-831	-191	175	
-871	-223	183	
-815	-255	201	
-583	-135	225	
-351	-79	235	
-215	-79	229	
-167	-247	235	
-311	-215	221	
-439	-79	193	
-535	-79	179	
-615	-15	157	
-655	-23	151	
-663	-47	149	
-703	-79	153	
-695	-79	155	
-695	-47	147	
-695	-71	149	
-695	-127	161	
-743	-183	159	
-863	-191	125	
-935	-223	93	
-959	-167	83	
-1023	-199	79	
-1007	-159	79	
-1007	-127	89	
-871	1	97	
-759	73	125	
-655	57	145	
-599	49	159	
-543	65	159	
-559	89	147	
-583	89	145	
-655	137	113	
-759	121	81	
-847	89	55	
-903	73	11	
-919	73	-11	
-887	129	-31	
-807	233	-35	
-727	321	-35	
-639	417	-23	
-575	417	-47	
-663	369	-103	
-703	193	-177	
-647	-111	-253	
-639	-471	-263	
-599	-871	-231	
-551	-919	-233	
-535	-919	-251	
-535	-871	-251	
-551	-791	-261	
-583	-631	-271	
-607	-447	-275	
-607	-271	-267	
-543	-135	-257	
-487	-47	-255	
-415	-7	-255	
-247	57	-259	
-343	81	-253	
-439	1	-261	
-455	-159	-275	
-423	-71	-277	
-479	-119	-277	
-527	-127	-275	
-559	-135	-267	
